Transaction_ID,Date,Transaction_Type,Category,Sub_Category,Description,Amount,Payment_Method,Account,Income_Source,Budget
TXN00001,2025-12-29,Income,Salary,Monthly Salary,Salary - September,46333.0,Debit Card,Cash Wallet,Employer,0.0
TXN00002,2025-04-03,Income,Salary,Monthly Salary,Salary - August,25651.0,Cash,Cash Wallet,Employer,0.0
TXN00003,2025-03-05,Income,Investment,Investment,Investment Returns,11898.0,Cash,HDFC Bank,Investment Portfolio,0.0
TXN00004,2025-10-19,Income,Other Income,Other Income,Refund Received,3092.0,Credit Card,Cash Wallet,Other Sources,0.0
TXN00005,2025-12-08,Income,Investment,Investment,Fd Interest,12430.0,Cash,ICICI Bank,Investment Portfolio,0.0
TXN00006,2025-08-11,Income,Business,Business,Business Sale Income,29956.0,Bank Transfer,HDFC Bank,Business Earnings,0.0
TXN00007,2025-05-27,Income,Other Income,Other Income,Miscellaneous Income,5127.0,UPI,Axis Bank,Other Sources,0.0
TXN00008,2025-05-08,Income,Investment,Investment,Mutual Fund Returns,14575.0,Debit Card,Cash Wallet,Investment Portfolio,0.0
TXN00009,2025-06-20,Income,Investment,Investment,Investment Returns,3322.0,Debit Card,ICICI Bank,Investment Portfolio,0.0
TXN00010,2025-01-20,Income,Business,Business,Business Revenue,11943.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00011,2025-07-12,Income,Other Income,Other Income,Bonus Income,7747.0,Debit Card,SBI,Other Sources,0.0
TXN00012,2025-04-09,Income,Other Income,Other Income,Gift Received,3863.0,Net Banking,HDFC Bank,Other Sources,0.0
TXN00013,2025-04-07,Income,Business,Business,Business Revenue,26407.0,Credit Card,SBI,Business Earnings,0.0
TXN00014,2025-07-24,Income,Business,Business,Client Payment,24672.0,UPI,Cash Wallet,Business Earnings,0.0
TXN00015,2025-12-18,Income,Investment,Investment,Fd Interest,5029.0,Net Banking,Cash Wallet,Investment Portfolio,0.0
TXN00016,2025-03-17,Income,Business,Business,Business Earnings,22437.0,Bank Transfer,SBI,Business Earnings,0.0
TXN00017,2025-11-29,Income,Freelance,Freelance,Freelance Consulting,5913.0,Net Banking,HDFC Bank,Freelance Clients,0.0
TXN00018,2025-07-09,Income,Other Income,Other Income,Cashback Reward,6338.0,Net Banking,Axis Bank,Other Sources,0.0
TXN00019,2025-12-22,Income,Business,Business,Client Payment,40133.0,Cash,ICICI Bank,Business Earnings,0.0
TXN00020,2025-05-20,Income,Business,Business,Business Profit Share,11291.0,Credit Card,HDFC Bank,Business Earnings,0.0
TXN00021,2025-12-30,Income,Business,Business,Client Payment,26199.0,Bank Transfer,ICICI Bank,Business Earnings,0.0
TXN00022,2025-08-29,Income,Salary,Monthly Salary,Salary - September,58083.0,Cash,ICICI Bank,Employer,0.0
TXN00023,2025-09-02,Income,Salary,Monthly Salary,Salary - June,38237.0,Cash,HDFC Bank,Employer,0.0
TXN00024,2025-07-25,Income,Freelance,Freelance,Freelance Writing Gig,8008.0,Credit Card,ICICI Bank,Freelance Clients,0.0
TXN00025,2025-06-14,Income,Other Income,Other Income,Miscellaneous Income,2025.0,Net Banking,HDFC Bank,Other Sources,0.0
TXN00026,2025-07-11,Income,Other Income,Other Income,Gift Received,2490.0,Debit Card,Axis Bank,Other Sources,0.0
TXN00027,2025-11-07,Income,Salary,Monthly Salary,Salary - June,67034.0,Bank Transfer,Axis Bank,Employer,0.0
TXN00028,2025-10-17,Income,Business,Business,Business Profit Share,41631.0,Credit Card,HDFC Bank,Business Earnings,0.0
TXN00029,2025-01-09,Income,Freelance,Freelance,Freelance Project Payment,4521.0,Net Banking,Axis Bank,Freelance Clients,0.0
TXN00030,2025-09-11,Income,Investment,Investment,Interest Income,2838.0,Bank Transfer,ICICI Bank,Investment Portfolio,0.0
TXN00031,2025-11-01,Income,Other Income,Other Income,Cashback Reward,5631.0,Debit Card,ICICI Bank,Other Sources,0.0
TXN00032,2025-09-29,Income,Salary,Monthly Salary,Salary - April,38091.0,Net Banking,Axis Bank,Employer,0.0
TXN00033,2025-07-01,Income,Investment,Investment,Mutual Fund Returns,1771.0,Debit Card,HDFC Bank,Investment Portfolio,0.0
TXN00034,2025-05-03,Income,Freelance,Freelance,Freelance Gig Income,27440.0,Debit Card,Axis Bank,Freelance Clients,0.0
TXN00035,2025-09-03,Income,Business,Business,Business Sale Income,48613.0,Credit Card,Axis Bank,Business Earnings,0.0
TXN00036,2025-08-31,Income,Freelance,Freelance,Freelance Consulting,14582.0,Net Banking,SBI,Freelance Clients,0.0
TXN00037,2025-05-17,Income,Salary,Monthly Salary,Salary Credit,74156.0,UPI,ICICI Bank,Employer,0.0
TXN00038,2025-05-29,Income,Investment,Investment,Stock Profit,4936.0,Net Banking,ICICI Bank,Investment Portfolio,0.0
TXN00039,2025-05-15,Income,Business,Business,Business Revenue,43548.0,UPI,Axis Bank,Business Earnings,0.0
TXN00040,2025-01-17,Income,Business,Business,Client Payment,24444.0,Credit Card,Axis Bank,Business Earnings,0.0
TXN00041,2025-01-12,Income,Salary,Monthly Salary,Salary - July,58991.0,Cash,HDFC Bank,Employer,0.0
TXN00042,2025-01-31,Income,Investment,Investment,Mutual Fund Returns,1103.0,Credit Card,ICICI Bank,Investment Portfolio,0.0
TXN00043,2025-06-04,Income,Salary,Monthly Salary,Salary - March,28671.0,Net Banking,HDFC Bank,Employer,0.0
TXN00044,2025-07-06,Income,Salary,Monthly Salary,Salary - July,30236.0,Credit Card,Cash Wallet,Employer,0.0
TXN00045,2025-05-30,Income,Other Income,Other Income,Refund Received,2906.0,Cash,ICICI Bank,Other Sources,0.0
TXN00046,2025-12-15,Income,Freelance,Freelance,Freelance Project Payment,28840.0,Debit Card,ICICI Bank,Freelance Clients,0.0
TXN00047,2025-03-24,Income,Business,Business,Client Payment,8723.0,Credit Card,ICICI Bank,Business Earnings,0.0
TXN00048,2025-05-24,Income,Investment,Investment,Interest Income,14098.0,UPI,ICICI Bank,Investment Portfolio,0.0
TXN00049,2025-04-01,Income,Business,Business,Business Profit Share,17014.0,Bank Transfer,SBI,Business Earnings,0.0
TXN00050,2025-04-20,Income,Business,Business,Business Profit Share,24751.0,Credit Card,HDFC Bank,Business Earnings,0.0
TXN00051,2025-08-02,Income,Freelance,Freelance,Freelance Consulting,27093.0,Cash,HDFC Bank,Freelance Clients,0.0
TXN00052,2025-04-24,Income,Freelance,Freelance,Freelance Development Payment,5040.0,Cash,Axis Bank,Freelance Clients,0.0
TXN00053,2025-04-26,Income,Salary,Monthly Salary,Salary - February,59565.0,Net Banking,Axis Bank,Employer,0.0
TXN00054,2025-09-02,Income,Other Income,Other Income,Bonus Income,1040.0,Cash,Cash Wallet,Other Sources,0.0
TXN00055,2025-10-31,Income,Other Income,Other Income,Gift Received,492.0,UPI,ICICI Bank,Other Sources,0.0
TXN00056,2025-03-19,Income,Business,Business,Business Sale Income,42341.0,Debit Card,Cash Wallet,Business Earnings,0.0
TXN00057,2025-02-10,Income,Other Income,Other Income,Gift Received,7633.0,Cash,SBI,Other Sources,0.0
TXN00058,2025-03-29,Income,Investment,Investment,Interest Income,4211.0,Bank Transfer,Cash Wallet,Investment Portfolio,0.0
TXN00059,2025-07-30,Income,Salary,Monthly Salary,Salary - January,22695.0,Credit Card,ICICI Bank,Employer,0.0
TXN00060,2025-12-17,Income,Other Income,Other Income,Miscellaneous Income,7155.0,UPI,Axis Bank,Other Sources,0.0
TXN00061,2025-02-28,Income,Other Income,Other Income,Miscellaneous Income,7169.0,UPI,ICICI Bank,Other Sources,0.0
TXN00062,2025-01-16,Income,Business,Business,Business Sale Income,39741.0,Debit Card,Axis Bank,Business Earnings,0.0
TXN00063,2025-07-12,Income,Business,Business,Business Sale Income,9251.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00064,2025-12-28,Income,Freelance,Freelance,Freelance Design Work,28231.0,Bank Transfer,SBI,Freelance Clients,0.0
TXN00065,2025-07-21,Income,Salary,Monthly Salary,Salary Credit,69867.0,Bank Transfer,HDFC Bank,Employer,0.0
TXN00066,2025-12-04,Income,Investment,Investment,Stock Profit,9191.0,Net Banking,Cash Wallet,Investment Portfolio,0.0
TXN00067,2025-08-23,Income,Salary,Monthly Salary,Salary - January,38619.0,Bank Transfer,Axis Bank,Employer,0.0
TXN00068,2025-01-12,Income,Freelance,Freelance,Freelance Gig Income,16021.0,Debit Card,HDFC Bank,Freelance Clients,0.0
TXN00069,2025-06-06,Income,Other Income,Other Income,Cashback Reward,1991.0,Credit Card,HDFC Bank,Other Sources,0.0
TXN00070,2025-10-09,Income,Salary,Monthly Salary,Salary - August,27310.0,Credit Card,ICICI Bank,Employer,0.0
TXN00071,2025-07-05,Income,Other Income,Other Income,Bonus Income,4733.0,Debit Card,HDFC Bank,Other Sources,0.0
TXN00072,2025-03-13,Income,Other Income,Other Income,Miscellaneous Income,5780.0,UPI,Axis Bank,Other Sources,0.0
TXN00073,2025-03-08,Income,Other Income,Other Income,Cashback Reward,1165.0,Cash,Cash Wallet,Other Sources,0.0
TXN00074,2025-08-31,Income,Salary,Monthly Salary,Salary - April,38057.0,UPI,ICICI Bank,Employer,0.0
TXN00075,2025-06-19,Income,Business,Business,Client Payment,48003.0,Cash,SBI,Business Earnings,0.0
TXN00077,2025-05-17,Income,Salary,Monthly Salary,Salary - July,26354.0,Net Banking,HDFC Bank,Employer,0.0
TXN00078,2025-05-04,Income,Investment,Investment,Mutual Fund Returns,14510.0,UPI,ICICI Bank,Investment Portfolio,0.0
TXN00079,2025-09-01,Income,Salary,Monthly Salary,Salary - December,68262.0,Debit Card,ICICI Bank,Employer,0.0
TXN00080,2025-01-03,Income,Investment,Investment,Investment Returns,759.0,Cash,HDFC Bank,Investment Portfolio,0.0
TXN00081,2025-06-08,Income,Freelance,Freelance,Freelance Consulting,24311.0,Debit Card,SBI,Freelance Clients,0.0
TXN00082,2025-05-16,Income,Freelance,Freelance,Freelance Development Payment,18968.0,Bank Transfer,Cash Wallet,Freelance Clients,0.0
TXN00083,2025-10-12,Income,Investment,Investment,Fd Interest,6482.0,UPI,SBI,Investment Portfolio,0.0
TXN00084,2025-09-23,Income,Other Income,Other Income,Refund Received,5285.0,Bank Transfer,Cash Wallet,Other Sources,0.0
TXN00085,2025-06-05,Income,Freelance,Freelance,Freelance Writing Gig,8940.0,Credit Card,SBI,Freelance Clients,0.0
TXN00086,2025-04-06,Income,Other Income,Other Income,Bonus Income,6569.0,Bank Transfer,HDFC Bank,Other Sources,0.0
TXN00087,2025-03-28,Income,Other Income,Other Income,Cashback Reward,4837.0,Debit Card,HDFC Bank,Other Sources,0.0
TXN00088,2025-03-19,Income,Salary,Monthly Salary,Salary - October,38620.0,Bank Transfer,HDFC Bank,Employer,0.0
TXN00089,2025-04-10,Income,Other Income,Other Income,Miscellaneous Income,1491.0,UPI,SBI,Other Sources,0.0
TXN00090,2025-10-05,Income,Business,Business,Business Revenue,10197.0,Cash,HDFC Bank,Business Earnings,0.0
TXN00091,2025-01-17,Income,Investment,Investment,Dividend Income,3032.0,Net Banking,HDFC Bank,Investment Portfolio,0.0
TXN00092,2025-01-10,Income,Business,Business,Business Profit Share,35632.0,Net Banking,SBI,Business Earnings,0.0
TXN00093,2025-07-17,Income,Other Income,Other Income,Gift Received,4135.0,Net Banking,Cash Wallet,Other Sources,0.0
TXN00094,2025-03-23,Income,Investment,Investment,Investment Returns,1130.0,Debit Card,HDFC Bank,Investment Portfolio,0.0
TXN00095,2025-10-31,Income,Other Income,Other Income,Gift Received,2145.0,Cash,ICICI Bank,Other Sources,0.0
TXN00096,2025-10-02,Income,Other Income,Other Income,Refund Received,584.0,UPI,SBI,Other Sources,0.0
TXN00097,2025-10-08,Income,Other Income,Other Income,Refund Received,993.0,UPI,Cash Wallet,Other Sources,0.0
TXN00098,2025-06-16,Income,Salary,Monthly Salary,Monthly Salary,75491.0,Net Banking,HDFC Bank,Employer,0.0
TXN00099,2025-06-09,Income,Other Income,Other Income,Miscellaneous Income,7241.0,Credit Card,Cash Wallet,Other Sources,0.0
TXN00100,2025-06-05,Income,Freelance,Freelance,Freelance Consulting,23825.0,Cash,Axis Bank,Freelance Clients,0.0
TXN00101,2025-03-13,Income,Investment,Investment,Investment Returns,2451.0,Net Banking,ICICI Bank,Investment Portfolio,0.0
TXN00102,2025-07-27,Income,Freelance,Freelance,Freelance Development Payment,26012.0,Bank Transfer,ICICI Bank,Freelance Clients,0.0
TXN00103,2025-11-12,Income,Investment,Investment,Mutual Fund Returns,9774.0,Credit Card,SBI,Investment Portfolio,0.0
TXN00104,2025-04-04,Income,Salary,Monthly Salary,Salary Credit,48673.0,UPI,ICICI Bank,Employer,0.0
TXN00105,2025-01-21,Income,Investment,Investment,Stock Profit,5829.0,Cash,SBI,Investment Portfolio,0.0
TXN00106,2025-07-26,Income,Investment,Investment,Mutual Fund Returns,6002.0,Credit Card,Axis Bank,Investment Portfolio,0.0
TXN00107,2025-05-26,Income,Freelance,Freelance,Freelance Design Work,28568.0,Net Banking,Cash Wallet,Freelance Clients,0.0
TXN00108,2025-10-19,Income,Other Income,Other Income,Refund Received,2761.0,Debit Card,ICICI Bank,Other Sources,0.0
TXN00109,2025-11-09,Income,Other Income,Other Income,Miscellaneous Income,5290.0,Credit Card,Cash Wallet,Other Sources,0.0
TXN00110,2025-12-13,Income,Business,Business,Business Profit Share,33481.0,UPI,SBI,Business Earnings,0.0
TXN00111,2025-05-24,Income,Salary,Monthly Salary,Salary - September,32144.0,Cash,Axis Bank,Employer,0.0
TXN00112,2025-11-26,Income,Business,Business,Business Earnings,10945.0,Bank Transfer,Axis Bank,Business Earnings,0.0
TXN00113,2025-02-13,Income,Investment,Investment,Dividend Income,11023.0,Cash,HDFC Bank,Investment Portfolio,0.0
TXN00114,2025-05-17,Income,Business,Business,Business Earnings,11183.0,Bank Transfer,Cash Wallet,Business Earnings,0.0
TXN00115,2025-04-08,Income,Salary,Monthly Salary,Salary - October,55621.0,Debit Card,Axis Bank,Employer,0.0
TXN00116,2025-12-03,Income,Other Income,Other Income,Bonus Income,7579.0,UPI,SBI,Other Sources,0.0
TXN00117,2025-08-08,Income,Investment,Investment,Fd Interest,1878.0,Cash,Axis Bank,Investment Portfolio,0.0
TXN00118,2025-05-14,Income,Salary,Monthly Salary,Salary - January,53897.0,UPI,ICICI Bank,Employer,0.0
TXN00119,2025-02-25,Income,Business,Business,Business Profit Share,28518.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00120,2025-10-13,Income,Other Income,Other Income,Bonus Income,4039.0,Credit Card,ICICI Bank,Other Sources,0.0
TXN00121,2025-08-28,Income,Salary,Monthly Salary,Salary - December,27184.0,Net Banking,HDFC Bank,Employer,0.0
TXN00122,2025-11-08,Income,Investment,Investment,Dividend Income,10039.0,Net Banking,ICICI Bank,Investment Portfolio,0.0
TXN00123,2025-06-09,Income,Other Income,Other Income,Bonus Income,5436.0,Net Banking,SBI,Other Sources,0.0
TXN00124,2025-02-24,Income,Investment,Investment,Sip Redemption,11557.0,Cash,SBI,Investment Portfolio,0.0
TXN00125,2025-05-03,Income,Investment,Investment,Mutual Fund Returns,5059.0,Credit Card,HDFC Bank,Investment Portfolio,0.0
TXN00126,2025-08-15,Income,Other Income,Other Income,Cashback Reward,7502.0,Cash,ICICI Bank,Other Sources,0.0
TXN00127,2025-03-29,Income,Investment,Investment,Mutual Fund Returns,11080.0,Credit Card,ICICI Bank,Investment Portfolio,0.0
TXN00128,2025-01-26,Income,Other Income,Other Income,Miscellaneous Income,6286.0,Cash,ICICI Bank,Other Sources,0.0
TXN00129,2025-10-28,Income,Salary,Monthly Salary,Salary - April,79198.0,UPI,Axis Bank,Employer,0.0
TXN00130,2025-07-13,Income,Other Income,Other Income,Miscellaneous Income,1124.0,Credit Card,Cash Wallet,Other Sources,0.0
TXN00131,2025-05-25,Income,Other Income,Other Income,Bonus Income,1151.0,Debit Card,ICICI Bank,Other Sources,0.0
TXN00132,2025-07-21,Income,Salary,Monthly Salary,Salary - August,20738.0,UPI,ICICI Bank,Employer,0.0
TXN00133,2025-09-27,Income,Investment,Investment,Investment Returns,4783.0,Bank Transfer,ICICI Bank,Investment Portfolio,0.0
TXN00135,2025-06-10,Income,Investment,Investment,Investment Returns,2104.0,Debit Card,Cash Wallet,Investment Portfolio,0.0
TXN00136,2025-04-03,Income,Salary,Monthly Salary,Salary - November,37035.0,Net Banking,Cash Wallet,Employer,0.0
TXN00137,2025-02-03,Income,Salary,Monthly Salary,Salary Credit,79946.0,UPI,Axis Bank,Employer,0.0
TXN00138,2025-01-14,Income,Salary,Monthly Salary,Salary - August,25426.0,Net Banking,Cash Wallet,Employer,0.0
TXN00139,2025-06-10,Income,Other Income,Other Income,Cashback Reward,2078.0,Debit Card,HDFC Bank,Other Sources,0.0
TXN00140,2025-07-18,Income,Other Income,Other Income,Bonus Income,1746.0,UPI,Cash Wallet,Other Sources,0.0
TXN00141,2025-07-05,Income,Freelance,Freelance,Freelance Development Payment,3013.0,UPI,HDFC Bank,Freelance Clients,0.0
TXN00142,2025-10-13,Income,Salary,Monthly Salary,Monthly Salary,56356.0,Bank Transfer,Cash Wallet,Employer,0.0
TXN00143,2025-06-17,Income,Other Income,Other Income,Gift Received,6825.0,Credit Card,HDFC Bank,Other Sources,0.0
TXN00144,2025-08-04,Income,Investment,Investment,Investment Returns,13953.0,UPI,Axis Bank,Investment Portfolio,0.0
TXN00145,2025-10-25,Income,Other Income,Other Income,Bonus Income,6736.0,Debit Card,HDFC Bank,Other Sources,0.0
TXN00146,2025-08-28,Income,Business,Business,Business Sale Income,10622.0,Net Banking,ICICI Bank,Business Earnings,0.0
TXN00147,2025-11-29,Income,Business,Business,Client Payment,33351.0,UPI,Cash Wallet,Business Earnings,0.0
TXN00148,2025-03-22,Income,Business,Business,Business Revenue,38058.0,UPI,HDFC Bank,Business Earnings,0.0
TXN00149,2025-10-15,Income,Salary,Monthly Salary,Salary - February,62594.0,Cash,Cash Wallet,Employer,0.0
TXN00150,2025-09-12,Income,Investment,Investment,Fd Interest,1290.0,UPI,Axis Bank,Investment Portfolio,0.0
TXN00151,2025-08-01,Income,Salary,Monthly Salary,Monthly Salary,73049.0,Debit Card,Axis Bank,Employer,0.0
TXN00152,2025-01-02,Income,Business,Business,Business Revenue,9127.0,Net Banking,HDFC Bank,Business Earnings,0.0
TXN00153,2025-07-17,Income,Freelance,Freelance,Freelance Gig Income,14840.0,Cash,Axis Bank,Freelance Clients,0.0
TXN00154,2025-11-10,Income,Freelance,Freelance,Freelance Development Payment,18028.0,Debit Card,HDFC Bank,Freelance Clients,0.0
TXN00155,2025-08-24,Income,Freelance,Freelance,Freelance Gig Income,10438.0,Debit Card,ICICI Bank,Freelance Clients,0.0
TXN00156,2025-01-02,Income,Business,Business,Client Payment,34215.0,Debit Card,Cash Wallet,Business Earnings,0.0
TXN00157,2025-04-16,Income,Salary,Monthly Salary,Salary - January,50501.0,Net Banking,ICICI Bank,Employer,0.0
TXN00158,2025-07-27,Income,Other Income,Other Income,Refund Received,1130.0,Bank Transfer,HDFC Bank,Other Sources,0.0
TXN00159,2025-10-24,Income,Other Income,Other Income,Gift Received,2577.0,Cash,ICICI Bank,Other Sources,0.0
TXN00160,2025-06-12,Income,Investment,Investment,Fd Interest,9702.0,Bank Transfer,ICICI Bank,Investment Portfolio,0.0
TXN00161,2025-11-09,Income,Salary,Monthly Salary,Salary - April,33058.0,Bank Transfer,ICICI Bank,Employer,0.0
TXN00162,2025-10-18,Income,Investment,Investment,Mutual Fund Returns,1023.0,Credit Card,ICICI Bank,Investment Portfolio,0.0
TXN00163,2025-04-08,Income,Business,Business,Business Profit Share,15152.0,UPI,ICICI Bank,Business Earnings,0.0
TXN00164,2025-03-13,Income,Freelance,Freelance,Freelance Development Payment,21656.0,Cash,Axis Bank,Freelance Clients,0.0
TXN00165,2025-11-26,Income,Business,Business,Client Payment,19230.0,Credit Card,Axis Bank,Business Earnings,0.0
TXN00166,2025-08-04,Income,Freelance,Freelance,Freelance Development Payment,14080.0,Cash,Axis Bank,Freelance Clients,0.0
TXN00167,2025-11-06,Income,Business,Business,Business Sale Income,28073.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00168,2025-12-03,Income,Business,Business,Business Earnings,46448.0,Bank Transfer,ICICI Bank,Business Earnings,0.0
TXN00169,2025-06-04,Income,Investment,Investment,Interest Income,12098.0,Credit Card,SBI,Investment Portfolio,0.0
TXN00170,2025-01-17,Income,Business,Business,Business Earnings,27236.0,UPI,HDFC Bank,Business Earnings,0.0
TXN00171,2025-11-28,Income,Salary,Monthly Salary,Salary Credit,70520.0,Net Banking,HDFC Bank,Employer,0.0
TXN00172,2025-08-02,Income,Salary,Monthly Salary,Salary - February,40048.0,Debit Card,HDFC Bank,Employer,0.0
TXN00173,2025-02-13,Income,Investment,Investment,Mutual Fund Returns,11269.0,Bank Transfer,HDFC Bank,Investment Portfolio,0.0
TXN00174,2025-07-13,Income,Business,Business,Business Earnings,43545.0,Debit Card,SBI,Business Earnings,0.0
TXN00175,2025-01-11,Income,Investment,Investment,Stock Profit,9212.0,Net Banking,HDFC Bank,Investment Portfolio,0.0
TXN00176,2025-04-16,Income,Business,Business,Business Sale Income,48129.0,UPI,Cash Wallet,Business Earnings,0.0
TXN00177,2025-05-07,Income,Business,Business,Client Payment,18993.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00178,2025-06-15,Income,Salary,Monthly Salary,Salary - August,43271.0,Bank Transfer,Axis Bank,Employer,0.0
TXN00179,2025-07-26,Income,Freelance,Freelance,Freelance Project Payment,7854.0,Net Banking,ICICI Bank,Freelance Clients,0.0
TXN00180,2025-11-03,Income,Business,Business,Business Revenue,12466.0,Debit Card,Cash Wallet,Business Earnings,0.0
TXN00181,2025-05-09,Income,Other Income,Other Income,Miscellaneous Income,4537.0,Credit Card,Cash Wallet,Other Sources,0.0
TXN00182,2025-09-26,Income,Other Income,Other Income,Miscellaneous Income,1304.0,Cash,ICICI Bank,Other Sources,0.0
TXN00183,2025-12-10,Income,Other Income,Other Income,Gift Received,824.0,Bank Transfer,Axis Bank,Other Sources,0.0
TXN00184,2025-10-01,Income,Salary,Monthly Salary,Salary - May,48160.0,Bank Transfer,HDFC Bank,Employer,0.0
TXN00185,2025-04-03,Income,Freelance,Freelance,Freelance Design Work,27399.0,Bank Transfer,HDFC Bank,Freelance Clients,0.0
TXN00186,2025-09-05,Income,Investment,Investment,Stock Profit,4735.0,Credit Card,ICICI Bank,Investment Portfolio,0.0
TXN00187,2025-04-13,Income,Other Income,Other Income,Refund Received,4048.0,UPI,HDFC Bank,Other Sources,0.0
TXN00188,2025-06-24,Income,Freelance,Freelance,Freelance Design Work,25620.0,Bank Transfer,Axis Bank,Freelance Clients,0.0
TXN00189,2025-08-20,Income,Business,Business,Client Payment,35159.0,Net Banking,Axis Bank,Business Earnings,0.0
TXN00190,2025-04-18,Income,Investment,Investment,Dividend Income,5816.0,Net Banking,ICICI Bank,Investment Portfolio,0.0
TXN00191,2025-01-02,Income,Other Income,Other Income,Gift Received,6787.0,Credit Card,ICICI Bank,Other Sources,0.0
TXN00192,2025-11-02,Income,Business,Business,Client Payment,43341.0,Debit Card,ICICI Bank,Business Earnings,0.0
TXN00193,2025-09-23,Income,Business,Business,Business Earnings,31421.0,UPI,Cash Wallet,Business Earnings,0.0
